Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Nutri-Score,Ecoscore
Nutella,0.6086486486486486,0.563,0.18596491228070175,0.0063313609467455624,0.09559939301972685,0.0,0.0,1,31
Sésame,0.53,0.17,0.03508771929824561,0.02248520710059172,0.15174506828528073,0.06865671641791044,0.0,4,57
Alvalle Gazpacho l'original,0.04540540540540541,0.033,0.007017543859649123,0.03668639053254438,0.013657056145675264,0.017910447761194027,0.0,5,82
70% Cacao noir intense,0.6351351351351352,0.3,0.42105263157894735,0.00591715976331361,0.14415781487101667,0.0,0.0,1,29
Noir Excellence 90%,0.6694594594594595,0.07,0.5263157894736842,0.001775147928994083,0.15174506828528073,0.0,0.0,2,29
Excellence 85% Cacao Chocolat Noir Puissant,0.6535135135135135,0.15,0.47368421052631576,0.001183431952662722,0.1896813353566009,0.0,0.0,1,29
Anacardi,0.6783783783783784,0.065,0.15789473684210525,0.001183431952662722,0.3110773899848255,0.07761194029850746,1.0,4,30
Original,0.5459459459459459,0.071,0.15789473684210525,0.10059171597633136,0.125948406676783,0.035820895522388055,0.0,1,62
Pulco Zitrone,0.013378378378378379,0.004,0.0,0.0002958579881656805,0.0015174506828528073,0.07462686567164178,0.0,3,112
Geröstete Mandel Ohne Zucker,0.015135135135135135,0.0,0.0017543859649122807,0.008284023668639055,0.006069802731411229,0.004477611940298507,0.0,4,69
Walnusskerne,0.8051351351351351,0.03,0.11929824561403508,0.001183431952662722,0.23520485584218512,0.10149253731343283,0.0,5,13
cruesly mélange de noix,0.5170270270270271,0.12,0.03508771929824561,0.0,0.12898330804248861,0.14925373134328357,0.0,5,66
Biscuits croquants au coeur onctueux de Nutella®,0.5832432432432433,0.358,0.20175438596491227,0.03307692307692308,0.11987860394537177,0.0,0.0,1,44
Le Beurre Tendre Doux,0.827027027027027,0.008,1.0,0.002958579881656805,0.01062215477996965,0.0,0.0,1,31
Pâte à tartiner noisettes et cacao,0.6213513513513513,0.51,0.09122807017543859,0.00591715976331361,0.10166919575113809,0.04925373134328358,0.0,2,44
Tartine Doux,0.5494594594594595,0.0,0.2631578947368421,0.02366863905325444,0.0,0.0,0.0,3,63
Cracotte Céréales Complètes,0.43108108108108106,0.081,0.017543859649122806,0.09467455621301776,0.16691957511380878,0.11194029850746269,0.0,3,64
Chocolat noir - 85% cacao,0.6472972972972973,0.129,0.49473684210526314,0.001775147928994083,0.16388467374810317,0.21641791044776118,0.0,2,19
Céréales Chocapic,0.44270270270270273,0.22399999999999998,0.03508771929824561,0.013017751479289942,0.13353566009104703,0.11194029850746269,0.0,5,28
Primevère,0.5505405405405406,0.0,0.24561403508771928,0.02366863905325444,0.0,0.0,0.0,3,69
Extra dark chocolate 74% cacao,0.6456756756756756,0.26,0.45614035087719296,0.001183431952662722,0.15022761760242792,0.0,0.0,1,40
Oat Drink Barista Edition,0.06891891891891892,0.04,0.005263157894736842,0.0057692307692307696,0.01669195751138088,0.011940298507462687,0.0,4,60
