Food Name,Energy (KJ/100g),Sugars (g/100g),Saturated Fat (g/100g),Salt (g/100g),Proteins (g/100g),Fiber (g/100g),Fruit/Veg (%),Categories,Countries,Barcode,Nutri-Score,Ecoscore,Comprehensive Score,Scaled Score,Category
Pulco Zitrone,49.5,0.4,0.0,0.005,0.1,5.0,0,"Beverages and beverages preparations, Beverages, en:flavoured-syrups","en:belgium, en:france, en:germany, en:switzerland",3225350000501,3,112,46.6,5.0,Good
BISCOTTES COMPLETES BIO,1582.0,4.0,0.5,1.3,15.0,8.5,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rusks,Wholemeal rusks","en:france, en:french-polynesia, en:spain",3560070308316,5,110,47.0,5.0,Good
Houmous extra - Pois chiches français & graines de sésame,1314.0,0.3,2.6,1.1,6.8,6.1,0,"Plant-based foods and beverages, Plant-based foods, Condiments, Spreads, Plant-based spreads, Salted spreads, Sauces, Dips, Hummus, Classic hummus","en:france, en:spain, en:switzerland",3292070005161,5,86,37.4,4.5,Good
Lait de coco,749.0,2.2,17.0,0.03,2.0,0.5,0,"Plant-based foods and beverages, Plant-based foods, Plant-based creams, Plant-based creams for cooking, Coconut milks and creams, en:milk-substitutes","en:france, en:switzerland, en:world",8886303210238,3,92,38.6,4.5,Good
Tartined Craquantes Châtaigne,1588.0,5.1,0.5,0.55,7.2,2.0,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Céréales et pommes de terre, Tartines craquantes extrudées",en:france,3760020508388,4,95,40.4,4.5,Good
"Muesli Raisin, Figue, Abricot",1485.0,14.0,0.9,0.03,11.0,10.0,0,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits","en:belgium, en:cote-d-ivoire, en:france, en:french-polynesia, en:guadeloupe, en:italy, en:martinique, en:morocco, en:new-caledonia, en:reunion, en:spain, en:switzerland",3229820129488,5,87,37.800000000000004,4.5,Good
Tartines craquantes au sarrasin,1611.0,2.6,0.6,0.67,13.0,4.4,0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées","en:belgium, en:france, en:spain, en:switzerland",3380380047749,5,91,39.4,4.5,Good
Tartines craquantes quinoa - pois chiche,1603.0,0.6,0.5,0.5,9.6,4.7,0,"Plant-based foods and beverages, Plant-based foods, Snacks, Cereals and potatoes, Extruded crispbreads, en:crispbreads",en:france,6153153,5,95,41.0,4.5,Good
Tartines Craquantes Multi-Céréales,1552.0,2.8,0.3,0.32,9.9,2.8,0,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Extruded crispbreads","en:france, en:switzerland",3175681037885,5,91,39.4,4.5,Good
Pain de mie grandes tranches Seigle & Graines 500g,1246.0,4.2,1.0,0.96,12.0,7.2,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Seeds,Cereals and their products,Cereal grains,Breads,Secale,Sliced breads,Rye,Rye breads",en:france,3760049798609,5,90,39.0,4.5,Good
Scott's Porage Oats Original 1000g,1565.0,1.0,1.5,0.0,11.0,9.0,0,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Flakes, Cereal flakes, Rolled flakes, Porridge, Rolled oats, Plain porridge","en:france, en:united-kingdom",5000108022176,5,86,37.4,4.5,Good
Muesli avoine chocolat bio,1642.0,8.7,3.8,0.1,12.0,10.0,0,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, Chocolate cereals, Mueslis, Mueslis with chocolate","en:belgium, en:france, en:spain, en:switzerland",3229820769165,5,87,37.800000000000004,4.5,Good
Crispbread Original,1631.0,3.5,0.5,1.19,11.7,6.2,0,"Plantaardige levensmiddelen en dranken,Plantaardige levensmiddelen,Snacks,Granen en aardappels,Knapperige broodproducten","en:belgium, en:france, en:germany",20006174,5,97,41.800000000000004,4.5,Good
Pain de mie Bio grandes tranches céréales & graines 500g,1266.0,5.6,0.8,1.2,8.8,5.3,0,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Multigrain sliced breads",en:france,3760049794298,5,91,39.4,4.5,Good
Les Galettes Boulgour & Quinoa - Tomate & Paprika,792.0,3.8,0.6,0.95,7.5,5.0,0,"Plant-based foods and beverages, Plant-based foods, Meat alternatives, Vegetarian patties, Cereals and vegetables patties",en:france,3175681028111,5,91,39.4,4.5,Good
Muesli Superfruits,1506.0,14.0,0.8,0.01,11.0,9.4,20,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Cereals with fruits,Mueslis,Mueslis with fruits","en:belgium, en:france, en:martinique, en:mexico, en:morocco, en:reunion, en:spain, en:switzerland",3229820782560,5,87,37.800000000000004,4.5,Good
"Alpro Sojadrink, Ungesüßt 1L",138.0,0.0,0.3,0.09,3.3,0.6,0,"Plant-based foods and beverages, Beverages, Plant-based foods, Legumes and their products, Dairy substitutes, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Legume-based drinks, Non-alcoholic beverages, Soy-based drinks, Unsweetened plain soy-based drinks, en:unsweetened-beverages","en:belgium, en:france, en:germany, en:italy, en:luxembourg, en:norway, en:spain",5411188115496,5,88,38.2,4.5,Good
Tartines craquantes sarrasin,1548.0,1.5,0.40000000596046,0.47999998927116,12.0,3.5,0,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées",en:france,3175681037854,5,95,41.0,4.5,Good
8 Pains au lait frais Bio 280g,1451.0,8.7,1.2,0.9,9.3,2.4,0,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Petit-déjeuners, Céréales et pommes de terre, Snacks sucrés, en:Sweet pastries and pies, Pains, Viennoiseries, Pains au lait",en:france,3284230011884,4,91,38.8,4.5,Good
